"type","cbl","cop","cores","m","n","k","tpt"
"212","openmp",1,1,4,256,256,256,1.60645660763615
"213","openmp",1,1,4,512,512,512,2.33882688045118
"214","openmp",1,1,4,1024,1024,1024,3.2420586658653
"215","openmp",1,1,4,2048,2048,2048,3.8865474053638
"216","openmp",1,1,4,4096,4096,4096,4.49842626751189
"217","openmp",1,1,6,256,256,256,1.60996772064666
"218","openmp",1,1,6,512,512,512,2.35959645978739
"219","openmp",1,1,6,1024,1024,1024,3.25997019990099
"220","openmp",1,1,6,2048,2048,2048,3.90447740225128
"221","openmp",1,1,6,4096,4096,4096,4.51116438965658
"222","openmp",1,1,8,256,256,256,1.61697936020436
"223","openmp",1,1,8,512,512,512,2.34241083626573
"224","openmp",1,1,8,1024,1024,1024,3.26023099766762
"225","openmp",1,1,8,2048,2048,2048,3.89227796987495
"226","openmp",1,1,8,4096,4096,4096,4.50557109401974
"227","openmp",1,1,9,256,256,256,1.61586591866855
"228","openmp",1,1,9,512,512,512,2.35910662180969
"229","openmp",1,1,9,1024,1024,1024,3.25867439009393
"230","openmp",1,1,9,2048,2048,2048,3.90106138998185
"231","openmp",1,1,9,4096,4096,4096,4.50750771663871
"232","openmp",1,1,12,256,256,256,1.62292862135217
"233","openmp",1,1,12,512,512,512,2.42459909005852
"234","openmp",1,1,12,1024,1024,1024,3.26266367586429
"235","openmp",1,1,12,2048,2048,2048,3.90386104340538
"236","openmp",1,1,12,4096,4096,4096,4.51897141890568
"237","openmp",1,1,15,256,256,256,1.84043232035629
"238","openmp",1,1,15,512,512,512,2.49430072622706
"239","openmp",1,1,15,1024,1024,1024,3.25957906771047
"240","openmp",1,1,15,2048,2048,2048,4.08815480727564
"241","openmp",1,1,15,4096,4096,4096,4.65190865944879
"242","openmp",1,1,16,256,256,256,1.86582029533447
"243","openmp",1,1,16,512,512,512,2.36645284312974
"244","openmp",1,1,16,1024,1024,1024,3.47162830553316
"245","openmp",1,1,16,2048,2048,2048,4.09141555669447
"246","openmp",1,1,16,4096,4096,4096,4.69928266196462
"247","openmp",1,1,18,256,256,256,1.84759733426396
"248","openmp",1,1,18,512,512,512,2.60110240279967
"249","openmp",1,1,18,1024,1024,1024,3.49188631278523
"250","openmp",1,1,18,2048,2048,2048,4.1014879317425
"251","openmp",1,1,18,4096,4096,4096,4.70956452816529
"252","openmp",1,1,20,256,256,256,1.7961717652196
"253","openmp",1,1,20,512,512,512,2.51800828476979
