"type","cbl","cop","cores","m","n","k","tpt"
"181","openmp",1,1,4,257,257,257,1.61346125125271
"182","openmp",1,1,4,509,509,509,2.38031256527009
"183","openmp",1,1,4,1021,1021,1021,3.24673855820036
"184","openmp",1,1,4,2053,2053,2053,3.88033137207562
"185","openmp",1,1,6,257,257,257,1.62123861622223
"186","openmp",1,1,6,509,509,509,2.37036317939516
"187","openmp",1,1,6,1021,1021,1021,3.24657514183831
"188","openmp",1,1,6,2053,2053,2053,3.89528671107931
"189","openmp",1,1,8,257,257,257,1.62288722744912
"190","openmp",1,1,8,509,509,509,2.36222604467956
"191","openmp",1,1,8,1021,1021,1021,3.2561647868389
"192","openmp",1,1,8,2053,2053,2053,3.89124026290237
"193","openmp",1,1,9,257,257,257,1.62860346961831
"194","openmp",1,1,9,509,509,509,2.35457323133677
"195","openmp",1,1,9,1021,1021,1021,3.25820564676773
"196","openmp",1,1,9,2053,2053,2053,3.90680265337024
"197","openmp",1,1,12,257,257,257,1.62480788238497
"198","openmp",1,1,12,509,509,509,2.3842637857228
"199","openmp",1,1,12,1021,1021,1021,3.25924568265108
"200","openmp",1,1,12,2053,2053,2053,3.92901919088471
"201","openmp",1,1,15,257,257,257,1.68064367154225
"202","openmp",1,1,15,509,509,509,2.36197323746566
"203","openmp",1,1,15,1021,1021,1021,3.25696295933546
"204","openmp",1,1,15,2053,2053,2053,4.01172742937963
"205","openmp",1,1,16,257,257,257,1.64636451050388
"206","openmp",1,1,16,509,509,509,2.39303089751442
"207","openmp",1,1,16,1021,1021,1021,3.25958193442901
"208","openmp",1,1,16,2053,2053,2053,4.07482974710727
"209","openmp",1,1,18,257,257,257,1.87112323135628
"210","openmp",1,1,18,509,509,509,2.37942155588748
"211","openmp",1,1,18,1021,1021,1021,3.26865073819159
"212","openmp",1,1,18,2053,2053,2053,4.03613388488685
"213","openmp",1,1,20,257,257,257,1.95531245010969
"214","openmp",1,1,20,509,509,509,2.64347636463008
"215","openmp",1,1,20,1021,1021,1021,3.26801110049934
"216","openmp",1,1,20,2053,2053,2053,4.11154501569783
"217","openmp",1,1,21,257,257,257,1.86061945798142
"218","openmp",1,1,21,509,509,509,2.50655644116987
"219","openmp",1,1,21,1021,1021,1021,3.35182798914663
"220","openmp",1,1,21,2053,2053,2053,4.06222925406747
"221","openmp",1,1,24,257,257,257,1.99456349100971
"222","openmp",1,1,24,509,509,509,2.63771982460983
"223","openmp",1,1,24,1021,1021,1021,3.50414886229771
"224","openmp",1,1,24,2053,2053,2053,4.11023226344744
